Meses;25-44 años a más(desempleo %)
Sep19;4.60295408
Oct-19;5.020065669
Nov-19;4.96580326
Dic-19;4.621085519
Ene-20;4.66059875
Feb-20;5.134555671
Mar-20;6.24832086
Abr-20;8.190893596
May-20;13.09011497
Jun-20;16.27732752
Jul-20;15.23219497
Ago-20;14.20066245
Sep20;14.5
Oct-20;14.81348922
Nov-20;14.5
Dic-20;12.06147041
Ene-21;11.09803326
Feb-21;12.79097016
Mar-21;13.74697313
Abr-21;13.74633872
May-21;10.2365912
Jun-21;8.470697747
Jul-21;7.479693575
Ago-21;n.d.
Sep21;n.d.
