Promedio móvil tres meses;Tasa de desempleo-Hombres
Sep19;4.788470479
Oct19;5.154748445
Nov19;5.165362104
Dic19;5.020390944
Ene20;4.919573846
Feb20;5.398306549
Mar20;6.566294659
Abr20;8.50174849
May20;13.72670041
Jun20;16.07845799
Jul20;16.26074134
Ago20;14.957104
Sep20;15.99637966
Oct20;15.52962992
Nov20;13.8571798
Dic20;12.26548097
Ene21;11.12820146
Feb21;12.60931611
Mar21;13.14755799
Abr21;12.89332884
May21;9.986859396
Jun21;8.284663638
Jul21;7.300900645
Ago21;n.d.
Sep21;n.d.
