"","PN02124PM","PN37695PM","PN37696PM","PN37697PM","PN02125PM"
"","Remuneraciones - Remuneración Mínima Vital - Nominal (S/)","Remuneraciones - Remuneración Mínima Vital - Real (S/ de 2009)","Remuneraciones - Ingreso promedio del sector formal privado - Nominal (S/)","Remuneraciones - Ingreso promedio del sector formal privado - Real (S/ de 2009)","Remuneraciones - Remuneración Mínima Vital - Índice Real (base 1994 = 100)"
Sep19,930,703.878785352255,2372.09399414063,1795.34047240547,313.850451336789
Oct19,930,703.100274543269,2347.04150390625,1774.41454382896,313.503323430883
Nov19,930,702.335359470152,2360.87255859375,1782.92933021845,313.162257687849
Dic19,930,700.831926683274,4127.45849609375,3110.38138722864,312.491896443078
Ene20,930,700.455025375791,2430.9267578125,1830.91920841962,312.323841022281
Feb20,930,699.460588028243,2562.65380859375,1927.39283857183,311.880434264116
Mar20,930,694.971074967583,3277.07861328125,2448.89768454338,309.878618426371
Abr20,930,694.245014891556,2358.86596679688,1760.89348198503,309.55487762426
May20,930,692.830576529429,2160.3388671875,1609.40733640048,308.924197843054
Jun20,930,694.679095755493,2204.91943359375,1647.00154660497,309.74842867012
Jul20,930,691.479699416303,3798.28198242188,2824.12353064886,308.32185920112
Ago20,930,692.242820738541,2220.57006835938,1652.87493308459,308.662125133825
Sep20,930,691.295621794395,2296.52856445313,1707.07542143249,308.239781369086
Oct20,930,691.18425548263,2268.00756835938,1685.60335759725,308.190124570304
Nov20,930,687.605409724471,2273.43920898438,1680.8915040617,306.594363510534
Dic20,930,687.27048398962,4107.53466796875,3035.47025726777,306.445024454954
Ene21,930,682.192485668055,2455.47583007813,1801.1904946439,304.18081064673
Feb21,930,683.058027285083,2562.87963867188,1882.36076361325,304.566744464893
Mar21,930,677.3717033958,3395.48779296875,2473.12618299235,302.031286149857
Abr21,930,678.081599245973,2644.39990234375,1928.08485465284,302.347819532615
May21,930,676.278926894852,2584.60473632813,1879.47711562509,301.544031234423
Jun21,930,672.782666219042,2601.4619140625,1881.95535764544,299.985093795295
Jul21,n.d.,n.d.,n.d.,n.d.,n.d.
Ago21,n.d.,n.d.,n.d.,n.d.,n.d.
Sep21,n.d.,n.d.,n.d.,n.d.,n.d.
	 
