Promedio móvil tres meses;Tasa de Desempleo (%) Mujer
Sep19;6.855286425
Oct19;7.875210101
Nov19;7.660421831
Dic19;7.334855586
Ene20;7.964566458
Feb20;9.012961919
Mar20;9.202402453
Abr20;9.566080388
May20;12.38776442
Jun20;16.53064768
Jul20;16.51655543
Ago20;16.33907285
Sep20;17.2
Oct20;17.56941729
Nov20;17.2
Dic20;15.74280348
Ene21;15.29325068
Feb21;16.80630631
Mar21;17.94076816
Abr21;17.85104911
May21;14.49128675
Jun21;12.75508012
Jul21;11.92581781
Ago21;n.d.
Sep21;n.d.
