;Remuneraciones - Remuneración Mínima Vital - Real (S/ de 2009)
Sep19;703.8787854
Oct19;703.1002745
Nov19;702.3353595
Dic19;700.8319267
Ene20;700.4550254
Feb20;699.460588
Mar20;694.971075
Abr20;694.2450149
May20;692.8305765
Jun20;694.6790958
Jul20;691.4796994
Ago20;692.2428207
Sep20;691.2956218
Oct20;691.1842555
Nov20;687.6054097
Dic20;687.270484
Ene21;682.1924857
Feb21;683.0580273
Mar21;677.3717034
Abr21;678.0815992
May21;676.2789269
Jun21;672.7826662
Jul21;n.d.
Ago21;n.d.
Sep21;n.d.
